,exemplar ENGLISH,viper,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
exemplar DUTCH,,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad (dier),python,salamander,schildpad,slang,varaan,waterschildpad
adder,viper,0,14,20,20,15,19,11,8,14,11,12,14,19,14,20,12,14,20,14,5
alligator,alligator,0,0,16,16,11,15,12,11,20,9,14,20,16,11,16,3,17,13,15,11
boa,boa,0,0,0,20,14,11,11,18,13,16,11,12,16,16,20,14,13,20,19,13
cobra,cobra,0,0,0,0,12,12,14,3,16,9,10,16,15,13,20,12,15,20,15,11
dinosaurus,dinosaur,0,0,0,0,0,15,17,12,16,15,6,12,18,14,13,12,11,16,14,16
gekko,gecko,0,0,0,0,0,0,19,12,15,20,9,8,13,15,12,15,13,11,17,7
hagedis,lizard,0,0,0,0,0,0,0,16,15,16,16,12,19,11,12,19,16,8,16,14
hazelworm,blindworm,0,0,0,0,0,0,0,0,12,13,6,13,5,11,10,16,9,18,15,1
kaaiman,caiman,0,0,0,0,0,0,0,0,0,13,15,20,18,2,16,2,15,12,13,13
kameleon,chameleon,0,0,0,0,0,0,0,0,0,0,12,14,19,9,13,18,16,13,18,6
kikker,frog,0,0,0,0,0,0,0,0,0,0,0,3,12,19,11,14,6,11,11,15
krokodil,crocodile,0,0,0,0,0,0,0,0,0,0,0,0,14,13,12,12,10,14,19,14
leguaan,iguana,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,14,12,16,19,12
pad (dier),toad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,6,18,11,3
python,python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,20,14,5
salamander,salamander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,12,12
schildpad,tortoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,20
slang,snake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12
varaan,monitor lizard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
waterschildpad,turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
