,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,1,1,1,1,15,1,20,15,1,10,1,1,1,1,20,1,1,20,1
bijl,axe,0,0,1,1,15,1,1,1,1,1,1,1,1,20,20,1,20,1,20,1
boksbeugel,knuckle dusters,0,0,0,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1
boog,bow,0,0,0,0,2,10,1,10,20,1,1,1,1,20,20,1,20,1,1,1
dolk,dagger,0,0,0,0,0,2,1,1,1,1,10,1,1,15,1,1,1,1,20,1
geweer,rifle,0,0,0,0,0,0,1,1,1,1,15,20,1,1,1,1,1,20,5,1
granaat,grenade,0,0,0,0,0,0,0,20,1,1,1,1,1,1,1,20,1,1,1,1
kanon,canon,0,0,0,0,0,0,0,0,15,1,1,1,1,1,1,1,1,1,1,1
katapult,slingshot,0,0,0,0,0,0,0,0,0,1,1,1,1,1,20,1,1,5,1,1
knuppel,club,0,0,0,0,0,0,0,0,0,0,1,1,20,20,20,1,1,10,15,1
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,15,1,15,1,1,1,20,1,10
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,15,1,1
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,20,1
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,1,20,1
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,1,1
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
