,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,6,12,13,14,15,16,12,5,7,8,6,5,18,9,8,5,6,12,5,5,6,6,18,12,11,6,5,9,5
boat,boot,0,0,6,5,5,8,5,11,13,4,4,5,17,6,5,6,8,7,5,6,5,6,4,6,6,5,6,7,7,5
scooter,bromfiets,0,0,0,18,8,6,11,7,5,8,11,8,4,11,8,6,5,6,16,3,5,6,7,8,6,7,6,4,6,4
motorbike,brommer,0,0,0,0,13,7,11,7,5,14,5,6,4,8,7,7,5,6,17,3,8,4,7,8,6,5,5,5,7,4
bus,bus,0,0,0,0,0,8,11,8,5,11,11,6,6,12,6,6,6,11,8,4,5,6,5,15,6,13,12,7,7,5
truck,camion,0,0,0,0,0,0,16,13,6,5,5,6,7,13,5,6,5,5,7,4,5,4,4,9,12,6,6,6,17,5
van,camionette,0,0,0,0,0,0,0,9,6,6,8,5,4,12,7,8,2,5,8,4,5,5,6,11,5,8,5,5,11,5
trailer,caravan,0,0,0,0,0,0,0,0,5,6,7,7,4,7,9,8,5,5,7,8,6,4,6,8,8,6,6,7,6,5
submarine,duikboot,0,0,0,0,0,0,0,0,0,4,4,4,14,4,5,4,8,8,4,4,4,5,3,4,5,6,7,5,5,8
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,18,5,4,6,12,8,4,4,15,3,14,7,16,7,7,6,6,5,6,4
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,6,4,8,8,12,6,4,9,2,11,8,14,8,8,5,6,5,6,3
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,5,12,5,6,4,5,5,5,6,6,6,4,12,6,12
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,5,6,2,6,5,5,3,7,6,5,6,7,7,6
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,4,6,12,4,5,7,6,13,13,6,7,4,12,4
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,4,6,3,7,8,6,15,6,5,4,3,7,2
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,3,8,8,7,8,7,7,6,4,6,3
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,4,7,5,6,4,4,2,11,5,15
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,5,5,8,4,15,18,6,5,6
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,9,7,7,6,6,6,8,4
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,4,4,4,15,4,6
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,6,5,6,4,4,5,5
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,5,7,5,5,3,3
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,3,5,6
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,9,7,5,4
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,9,4
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,6,4
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
