,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,5,7,8,9,10,13,12,6,9,13,7,5,14,13,11,5,5,6,4,7,6,6,17,11,6,6,3,10,4
boat,boot,0,0,5,4,6,6,5,6,13,5,5,6,12,5,6,6,6,6,7,4,4,1,4,8,4,3,5,6,9,5
scooter,bromfiets,0,0,0,19,7,9,5,6,6,11,10,6,4,7,9,6,6,6,15,5,6,5,8,6,5,6,6,5,5,6
motorbike,brommer,0,0,0,0,7,7,7,9,5,12,6,6,4,5,9,4,5,5,19,6,7,2,8,9,10,8,7,6,5,4
bus,bus,0,0,0,0,0,12,11,11,6,9,8,5,5,8,7,6,6,9,8,7,4,7,5,10,7,10,6,7,11,5
truck,camion,0,0,0,0,0,0,16,9,5,5,7,5,5,12,9,5,7,5,4,3,4,6,3,9,13,7,9,5,20,6
van,camionette,0,0,0,0,0,0,0,8,4,5,7,6,5,12,9,8,5,8,6,2,4,5,5,7,7,6,7,2,16,5
trailer,caravan,0,0,0,0,0,0,0,0,7,7,7,5,6,8,8,10,3,8,6,5,6,8,3,6,8,2,5,7,10,7
submarine,duikboot,0,0,0,0,0,0,0,0,0,4,4,5,10,9,4,4,5,5,5,5,4,3,4,4,5,7,6,5,4,5
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,12,4,2,6,10,9,4,7,13,4,11,6,15,3,5,6,8,4,8,6
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,5,4,8,11,16,5,9,6,4,7,9,11,9,8,8,6,5,9,6
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,3,11,6,5,11,5,4,5,5,4,5,6,12,12,11
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,2,5,9,4,5,5,2,4,6,9,6,5,5
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,5,5,9,5,7,6,7,9,10,6,7,5,8,6
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,8,9,4,9,12,14,13,12,7,6,4,7,4
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,6,9,14,8,14,8,11,9,7,10,4
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,5,6,4,5,6,6,4,11,6,14
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,6,4,4,6,14,11,6,6,6
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,7,11,9,6,5,4,7,5
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,4,4,7,10,14,6,10
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,8,4,6,4,4,1,4
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2,7,3,5,7,5
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,6,4,5,4
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,5,7,5
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,8,4
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,7,6
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
