,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,11,17,18,19,18,19,15,6,15,16,8,6,20,14,16,4,12,18,8,14,15,15,19,18,15,18,11,19,12
boat,boot,0,0,5,11,14,11,6,14,12,8,2,3,19,10,9,7,8,7,4,4,6,4,4,2,6,5,9,8,11,9
scooter,bromfiets,0,0,0,19,14,14,11,11,6,19,12,6,5,13,12,14,7,5,18,7,13,6,16,14,14,9,5,8,12,2
motorbike,brommer,0,0,0,0,14,13,11,7,6,19,14,9,7,14,12,13,9,10,19,4,11,8,14,15,15,12,8,9,11,9
bus,bus,0,0,0,0,0,16,15,17,8,14,11,8,10,15,12,14,8,12,12,5,11,9,10,17,15,17,16,14,17,12
truck,camion,0,0,0,0,0,0,19,17,9,11,9,7,8,17,15,13,6,9,12,5,12,6,6,13,14,12,9,7,18,4
van,camionette,0,0,0,0,0,0,0,16,4,12,12,8,4,18,16,14,7,13,12,2,9,5,12,16,17,13,9,14,18,6
trailer,caravan,0,0,0,0,0,0,0,0,4,12,13,6,8,14,14,16,6,11,11,4,8,7,8,14,13,11,12,8,14,6
submarine,duikboot,0,0,0,0,0,0,0,0,0,2,6,8,16,7,8,6,3,8,7,5,8,5,7,7,6,9,5,6,8,5
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,18,7,6,14,14,18,7,11,18,9,17,6,17,14,12,13,11,8,12,4
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,7,4,15,14,6,8,8,8,4,11,14,12,12,11,12,7,2,13,7
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,7,15,5,8,17,4,8,3,7,4,8,6,19,8,15
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,8,8,8,7,7,5,8,5,3,5,12,6,9,2,12
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,8,11,14,8,11,7,9,18,15,9,13,8,7,3
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,12,16,6,11,14,11,14,14,13,14,9,14,5
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,12,8,8,9,12,17,14,15,12,9,14,8
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,16,4,6,7,8,7,7,4,16,9,19
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,8,13,7,19,16,8,11,8
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,9,17,14,14,5,7,9,15,4
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,4,8,6,16,5,15
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,11,6,3,2,5,12,4
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,4,8,12,2,8,4
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,9,4,4,4
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,15,8,11,5
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,8,18,7
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,12,4
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,8
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
