,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,7,11,9,7,6,8,11,7,8,9,9,9,9,5,8,6,9,6,7,7,12,8,8,11,8,4,8,9,10
bever,beaver,0,0,7,8,10,12,8,10,12,9,10,9,9,13,8,13,7,10,10,11,7,6,9,9,9,10,8,8,7,7
bizon,bison,0,0,0,9,7,10,8,11,8,10,6,12,9,8,15,6,12,9,4,11,13,9,11,12,11,8,8,8,12,12
dromedaris,dromedary,0,0,0,0,8,7,11,13,8,12,8,8,9,10,8,8,13,8,7,10,9,8,9,11,9,8,7,6,8,13
eekhoorn,squirrel,0,0,0,0,0,13,8,5,14,6,8,7,7,11,9,14,6,7,12,7,6,6,7,7,7,8,12,9,7,9
egel,hedgehog,0,0,0,0,0,0,7,7,12,8,9,8,6,10,8,13,7,7,12,6,6,6,7,9,7,7,11,11,9,7
ezel,donkey,0,0,0,0,0,0,0,12,9,13,8,7,8,10,12,9,15,9,6,9,8,12,16,9,8,12,8,9,10,14
giraf,giraffe,0,0,0,0,0,0,0,0,7,8,8,6,12,11,9,10,9,11,7,10,10,11,12,8,12,9,8,8,9,12
hamster,hamster,0,0,0,0,0,0,0,0,0,6,7,9,7,7,6,14,8,7,15,6,8,5,11,8,9,7,14,8,6,8
hert,deer,0,0,0,0,0,0,0,0,0,0,11,8,11,8,12,9,13,8,9,9,7,8,14,9,13,8,7,12,12,12
hond,dog,0,0,0,0,0,0,0,0,0,0,0,8,9,14,8,8,12,13,7,7,7,12,11,9,9,9,8,14,15,8
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,10,7,8,8,7,8,6,8,9,8,7,8,12,8,8,7,8,9
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,7,8,11,6,8,8,10,9,8,12,9,7,9,7,10
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,11,14,8,8,7,6,11,11,16,8,9,9,9,8
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,9,9,11,7,8,11,13,7,14,8,9,9,7
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,6,8,9,10,7,6,12,8,7,11,11
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,10,8,6,13,14,12,9,6,8,10,13
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,11,11,8,7,13,7,6,12,8,12
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,8,7,7,9,14,5,6,7
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,11,7,8,7,7,10,11,9
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,7,10,7,7,8,9,13
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,13,7,5,8,9,7
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,9,6,11,11,15
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,11,12,9,11
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,12,12
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,7
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
