,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,7,3,10,4,3,4,4,5,3,6,6,5,2,10,7,4,7,4,7,3,3,1,12,4,1,5,3,3,7
bever,beaver,0,0,10,4,4,3,6,5,6,2,5,20,3,5,4,3,2,17,7,12,2,4,6,4,3,3,3,5,6,5
bizon,bison,0,0,0,1,8,5,3,3,3,5,4,2,2,3,7,3,10,2,4,5,6,6,3,9,5,6,6,7,4,7
dromedaris,dromedary,0,0,0,0,15,6,4,3,3,6,9,4,2,12,6,3,4,7,2,4,3,5,1,4,4,10,2,5,4,4
eekhoorn,squirrel,0,0,0,0,0,4,3,5,7,5,4,6,7,3,5,3,3,1,4,2,4,3,5,9,4,1,6,5,8,1
egel,hedgehog,0,0,0,0,0,0,5,5,5,3,4,9,5,2,6,4,10,3,4,9,5,14,3,12,4,7,6,2,5,4
ezel,donkey,0,0,0,0,0,0,0,3,2,14,7,7,4,5,7,5,5,3,2,4,1,3,10,6,5,4,15,3,10,9
giraf,giraffe,0,0,0,0,0,0,0,0,1,10,4,2,3,6,5,4,5,6,4,3,2,6,5,3,18,6,4,5,5,20
hamster,hamster,0,0,0,0,0,0,0,0,0,3,3,3,6,15,2,6,4,3,5,2,4,5,7,13,9,1,6,4,11,20
hert,deer,0,0,0,0,0,0,0,0,0,0,3,5,9,4,8,3,5,6,3,7,3,7,3,5,5,5,7,2,8,1
hond,dog,0,0,0,0,0,0,0,0,0,0,0,1,6,13,3,10,2,3,4,7,10,15,4,4,5,8,6,2,4,5
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,3,2,5,9,9,10,3,5,5,3,3,8,5,4
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,4,9,2,7,2,6,6,4,2,3,2,10,1,4
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,3,4,2,2,5,8,3,2,3,5,6,3,1
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,1,9,7,8,10,2,5,10,3,5,5,2
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,7,6,3,2,6,14,7,4,1,9,6
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,1,5,3,3,15,3,4,4,3,2
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,1,5,3,3,3,7,4,3
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3,13,3,5,7,4,3,1
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10,1,5,5,6,4,8,5
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,10,4,5,7,2,19
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,3,2,6,2,6
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,4,4,3,7
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,8,5,4,7
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,4,10
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,5
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
