,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,4,3,5,4,3,4,4,3,4,4,3,5,3,3,4,4,4,4,4,2,4,3,6,4,1,4,3,4,5
bever,beaver,0,0,4,3,4,4,3,3,4,4,4,2,2,5,3,4,3,4,3,3,5,4,3,3,4,2,4,5,2,6
bizon,bison,0,0,0,4,4,4,6,3,3,4,3,6,3,4,1,5,6,4,5,4,5,1,10,4,3,3,6,3,4,4
dromedaris,dromedary,0,0,0,0,7,3,3,3,4,4,5,4,6,3,6,4,4,5,4,5,6,3,6,6,4,5,1,4,3,5
eekhoorn,squirrel,0,0,0,0,0,5,4,6,3,4,6,2,5,5,3,4,4,5,4,4,4,5,2,4,5,4,2,3,4,3
egel,hedgehog,0,0,0,0,0,0,5,6,7,4,4,4,5,4,4,4,2,4,4,2,5,3,5,4,3,4,4,4,3,6
ezel,donkey,0,0,0,0,0,0,0,5,3,2,3,4,4,2,4,6,3,5,5,5,4,2,15,3,4,2,3,3,3,14
giraf,giraffe,0,0,0,0,0,0,0,0,4,5,4,4,4,2,5,4,4,2,4,5,5,4,5,4,2,4,5,3,5,4
hamster,hamster,0,0,0,0,0,0,0,0,0,4,6,5,4,2,3,6,3,4,3,5,4,2,5,4,5,4,4,4,4,4
hert,deer,0,0,0,0,0,0,0,0,0,0,4,3,4,3,9,3,4,4,2,3,3,4,2,4,5,5,3,5,4,2
hond,dog,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,7,3,5,2,4,4,3,4,4,5,5,5,3,4,4
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,3,5,4,5,3,4,3,2,3,3,4,2,3,5
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,5,5,5,4,3,6,5,6,3,5,4,3
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,5,1,5,4,4,4,4,15,4,4,5,5,4
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,4,4,3,5,4,7,6,3,6,4,4,11
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,6,3,2,4,3,3,6,5,5,3
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,5,7,3,4,5,4,2,4,4,5
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,6,4,3,2,5,5,5,3,5
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,4,4,5,4,3,5,4
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,3,4,3,4,2,11
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,5,6,3,3,2,10
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,5,3,2,4
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,3,3,5,4
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,3,3
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,5,5
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
