,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,12,14,6,14,6,14,13,8,9,12,8,15,8,10,11,14,14,5,10,13,10,8,14,5,12,10,14,13,11
bever,beaver,0,0,10,9,15,11,9,10,17,16,16,12,15,8,10,14,9,14,11,12,13,8,12,12,16,13,10,16,18,8
bizon,bison,0,0,0,18,7,9,18,15,11,12,10,16,7,3,15,10,17,13,9,18,12,13,15,14,14,14,10,12,11,17
dromedaris,dromedary,0,0,0,0,6,7,18,15,8,10,13,12,16,3,16,9,15,9,4,18,15,17,18,9,16,9,8,12,9,14
eekhoorn,squirrel,0,0,0,0,0,14,12,9,19,13,10,10,6,15,9,14,9,10,13,7,9,4,8,9,11,11,12,12,10,9
egel,hedgehog,0,0,0,0,0,0,5,10,16,11,15,9,11,15,8,15,9,8,17,9,8,10,7,11,10,7,16,9,9,11
ezel,donkey,0,0,0,0,0,0,0,15,5,16,9,12,10,8,18,6,15,14,10,14,17,16,18,12,11,14,4,9,13,16
giraf,giraffe,0,0,0,0,0,0,0,0,8,17,10,13,17,10,14,15,17,15,9,15,16,17,16,5,19,11,6,8,13,19
hamster,hamster,0,0,0,0,0,0,0,0,0,10,11,9,8,18,9,13,9,9,11,9,9,9,10,13,11,7,16,14,10,9
hert,deer,0,0,0,0,0,0,0,0,0,0,15,14,18,11,16,15,17,16,9,17,15,15,12,10,14,15,9,16,13,16
hond,dog,0,0,0,0,0,0,0,0,0,0,0,11,11,16,9,10,10,10,15,10,10,13,16,15,18,11,9,17,17,10
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,14,10,12,9,11,13,7,8,12,17,15,14,14,8,4,16,15,11
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,17,14,15,13,17,14,14,7,17,11,10,15,11,10
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,8,18,15,9,12,8,8,10,17,8,14,15,15,10
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,12,6,16,17,15,18,11,12,17,1,9,9,14
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,7,8,6,3,8,15,9,13,10,15,10,9
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,15,17,15,17,17,17,13,4,17,11,14
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,14,15,12,13,18,7,6,10,17,16
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,6,9,14,10,11,7,9,11,4
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,15,11,14,13,9,11,11,15
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,13,17,10,9,10,10,18
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,15,11,9,5,8,16
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,8,6,5,13,18
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,10,13,12,9
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,17,15,17
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,12,12
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,9
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
