,exemplar ENGLISH,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
exemplar DUTCH,,potato,onions,asparagus,eggplant,gherkins,beet,cauliflower,beans,mushrooms,zucchini,peas,chervil,cucumber,garlic,corn,pepper,parsley,leek,radish,red cabbage,black salsify,celery,lettuce,spinach,Brussels sprouts,tomato,water cress,endive,white cabbage,carrot
aardappel,potato,0,9,9,15,4,13,9,10,8,5,3,3,4,8,8,7,2,11,12,3,13,4,4,3,8,13,4,10,9,9
ajuin,onions,0,0,3,6,9,14,9,5,7,9,3,3,3,17,3,13,6,9,10,4,9,14,6,3,9,14,4,6,9,6
asperges,asparagus,0,0,0,11,4,14,6,17,6,7,4,5,13,3,2,3,6,14,9,4,17,15,6,4,8,3,4,13,5,14
aubergine,eggplant,0,0,0,0,8,15,4,4,5,11,3,6,8,5,2,18,3,4,16,13,5,7,9,3,7,14,3,3,5,6
augurken,gherkins,0,0,0,0,0,4,3,12,4,9,7,9,18,3,9,11,4,12,6,4,8,7,7,12,10,4,7,7,6,14
biet,beet,0,0,0,0,0,0,4,4,8,7,4,4,3,4,4,7,7,4,13,12,17,6,11,3,8,10,2,11,6,11
bloemkool,cauliflower,0,0,0,0,0,0,0,6,5,4,12,5,5,6,2,4,4,8,9,17,3,4,15,6,8,5,2,9,17,9
bonen,beans,0,0,0,0,0,0,0,0,15,11,10,4,11,4,7,5,3,3,5,4,13,11,9,6,7,4,2,9,4,10
champignons,mushrooms,0,0,0,0,0,0,0,0,0,4,3,3,4,11,4,5,3,6,9,2,9,4,4,6,9,8,2,13,6,6
courgette,zucchini,0,0,0,0,0,0,0,0,0,0,10,8,17,4,5,13,8,17,13,3,6,12,5,8,15,5,7,12,7,9
erwten,peas,0,0,0,0,0,0,0,0,0,0,0,10,9,2,19,4,4,7,3,4,2,4,11,6,13,3,9,3,3,4
kervel,chervil,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,17,13,7,2,7,11,13,16,8,3,16,4,3,14
komkommer,cucumber,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,11,18,5,3,12,13,10,10,7,4,9,9,4,10
look,garlic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,6,7,3,4,5,4,2,3,4,3,6,9,6
maïs,corn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,5,3,2,4,3,5,4,2,2,3
paprika,pepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,15,4,6,12,5,4,6,15,4,4,4,14
peterselie,parsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,2,4,8,11,15,13,3,16,3,3,14
prei,leek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,17,9,12,6,3,4,7,11,6
radijs,radish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,4,9,15,12,11,6,3,3,13
rode kool,red cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,15,4,9,9,2,3,19,3
schorseneren,black salsify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,6,9,6,4,11,6,6
selder,celery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,3,8,7,16,13
sla,lettuce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,9,13,5,18,4
spinazie,spinach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,17,2,4,7
spruiten,Brussels sprouts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,18,8,4
tomaat,tomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,4
waterkers,water cress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,4
witloof,endive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
witte kool,white cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
wortel,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
