,exemplar ENGLISH,anvil,chisel,axe,drill,crowbar,screw wrench,lawn mower,hammer,spanner,pickaxe,crowbar,wheelbarrow,knife,wrench,oil can,filling knife,plough,plane,shovel,screwdriver,grinding disc,nail,moped,vacuum cleaner,tongs,rope,paint brush,file,level,saw
exemplar DUTCH,,aambeeld,beitel,bijl,boormachine,breekijzer,engelsesleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,anvil,0,1,1,1,1,1,1,12,3,2,1,3,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1
beitel,chisel,0,0,3,7,16,4,1,4,4,1,12,1,9,2,1,9,1,-1,3,12,1,8,1,1,1,1,1,16,1,1
bijl,axe,0,0,0,3,9,1,1,9,1,16,3,1,15,1,1,1,1,-1,1,1,7,1,5,1,2,1,1,2,1,15
boormachine,drill,0,0,0,0,1,1,8,1,3,1,4,3,2,1,1,1,1,-1,1,6,15,1,4,1,1,1,1,6,3,2
breekijzer,crowbar,0,0,0,0,0,1,1,7,3,4,17,1,3,3,3,1,6,-1,2,7,6,1,4,1,1,1,1,4,1,3
engelse sleutel,adjustable spanner,0,0,0,0,0,0,1,1,1,1,2,1,1,17,1,1,1,-1,1,3,2,1,1,1,3,1,1,1,1,3
grasmachine,lawn mower,0,0,0,0,0,0,0,1,1,1,1,8,12,1,1,1,4,-1,1,1,15,1,1,15,1,1,1,1,1,4
hamer,hammer,0,0,0,0,0,0,0,0,1,4,6,2,3,1,1,3,1,-1,5,2,1,12,1,1,3,1,1,4,1,7
houtklem,clamp,0,0,0,0,0,0,0,0,0,4,1,2,2,1,1,1,1,-1,1,2,1,3,1,1,1,1,1,1,1,6
houweel,pickaxe,0,0,0,0,0,0,0,0,0,0,6,1,3,1,1,3,6,-1,12,3,3,3,1,1,1,1,1,1,1,4
koevoet,crowbar,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,10,-1,6,1,5,1,1,1,4,1,1,2,1,10
kruiwagen,wheelbarrow,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,-1,1,1,1,1,2,1,1,1,1,1,1,1
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,16,-1,3,6,10,3,2,1,7,1,3,4,2,9
moersleutel,wrench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,7,1,1,1,3,1,6,1,1,1,1,3
oliespuit,oil can,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,2,1,1,1,1,3,1,1,1,1,1
plamuurmes,filling knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,6,2,1,1,1,1,2,1,3,6,1,2
ploeg,plough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,12,1,2,1,1,1,1,1,1,1,1,1
schaaf,plane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
schop,shovel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,7,1,1,1,1,1,3
schroevendraaier,screwdriver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,1,1,4,2,1
slijpschijf,grinding disc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,1,1,1,14,1,13
spijker,nail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,9,2,1
staalborstel,wire brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,16,3,1,1
stofzuiger,vacuum cleaner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
tang,tongs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
verfborstel,paint brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
vijl,file,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
waterpas,level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zaag,saw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
