,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,18,1,1,1,1,1,1,1,1,2,18,8,19,9,2,1,1,1,1,20,1,1,6,-1,1,1,1,1,1,13,1,1
bord,plate,0,0,1,1,1,1,20,1,6,1,1,14,16,1,1,11,1,1,1,4,17,1,1,1,-1,1,11,1,4,1,1,4,1
broodrooster,toaster,0,0,0,1,1,18,1,1,2,1,1,1,1,10,16,1,1,1,11,1,1,1,1,1,-1,1,1,1,1,14,1,1,1
fles,bottle,0,0,0,0,4,1,20,1,1,1,1,1,1,1,2,1,9,1,1,12,8,1,1,1,-1,4,1,4,1,11,1,1,1
fornuis,stove,0,0,0,0,0,4,1,1,14,17,14,19,1,14,14,17,1,1,19,20,14,1,1,14,-1,6,1,2,2,20,1,2,1
frigo,fridge,0,0,0,0,0,0,1,1,1,1,1,1,1,1,14,1,1,1,15,1,1,1,1,1,-1,1,1,1,1,13,1,1,1
glas,glass,0,0,0,0,0,0,0,1,14,1,5,4,5,1,1,1,1,1,9,1,18,1,1,1,-1,20,11,4,1,14,1,1,1
handdoek,towel,0,0,0,0,0,0,0,0,9,1,1,1,1,1,1,14,1,11,4,1,18,1,1,20,-1,1,1,1,1,1,1,1,1
ketel,kettle,0,0,0,0,0,0,0,0,0,11,1,19,1,1,1,1,1,16,6,14,19,11,1,1,-1,3,1,17,1,9,1,14,16
klopper,whisk,0,0,0,0,0,0,0,0,0,0,1,15,12,11,1,20,1,1,1,1,1,13,1,1,-1,1,20,4,8,1,1,11,2
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,1,11,4,1,20,1,1,1,4,9,1,1,1,-1,18,16,11,1,20,1,1,1
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,12,1,19,1,1,1,18,19,19,1,1,1,-1,3,1,16,1,6,16,16,1
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,4,1,1,1,20,4,1,4,1,-1,1,20,1,20,20,1,11,1
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,18,20,16,-1,6,14,1,1,1,1,1,2
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,20,14,1,1,1,1,-1,1,2,1,1,19,1,15,1
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,16,3,4,-1,1,17,1,4,14,1,1,16
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,4,-1,12,1,1,1,1,1,1,1
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,1,4,-1,1,1,2,1,19,1,13,1
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,11,-1,1,1,2,1,3,1,18,1
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,5,1,20,1,11,4,17,1
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,-1,1,1,1,1,1,1,2,1
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,3,1,1,1,1
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,1,1,1,1,1,1,1
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,1,19,18,1,1
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,1,1,2
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,17,20
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,1
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
