,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,1,1,1,1,2,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,10,1
bord,plate,0,0,10,15,1,1,20,10,10,1,1,1,20,1,10,1,1,20,1,1,15,1,1,1,1,20,20,4,20,1,11,1,1
broodrooster,toaster,0,0,0,1,15,10,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,15,1,1,1,1
fles,bottle,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,15,1,1,1,1,1,1,1
fornuis,stove,0,0,0,0,0,20,1,15,1,1,15,1,1,18,20,1,1,1,20,20,1,1,10,20,1,1,1,2,1,1,15,1,1
frigo,fridge,0,0,0,0,0,0,1,1,1,1,10,20,1,1,1,1,1,1,1,1,10,1,10,1,1,1,1,1,10,1,1,1,1
glas,glass,0,0,0,0,0,0,0,1,1,1,1,1,2,1,20,1,1,1,1,1,1,1,1,1,11,20,1,1,1,20,1,1,1
handdoek,towel,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,15,15,1,1,1,1,20,1,1,1,10,1,1,1,1,1
ketel,kettle,0,0,0,0,0,0,0,0,0,10,1,1,1,12,1,1,1,1,1,1,15,1,1,1,1,1,20,1,1,15,1,1,20
klopper,whisk,0,0,0,0,0,0,0,0,0,0,1,20,10,15,1,20,1,1,1,1,1,1,1,10,1,1,1,1,20,1,1,1,10
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,1,20,1,15,10,1,1,10,1,15,1,1,1,1,20,15,20,10,20,1,1,15
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,20,1,1,15,1,1,1,1,20,20,10,1,15,12,1,1,20,15
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,15,1,20,1,20,1,1,1,1
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,15,20,20,20,1,1,1,20,1,20,1,1,1,15
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,1,1,1,1,1,1,1,15,1,1,11,15,1,1,1
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,15,10,4,10,1,10,1,1,1,1,1,1,1
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,10,1,1,1,5,1,20,1,1
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,15,1,10,15,1,1,1,1
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,1,1,20,1,1,1,1,15,18,1,10,1
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,15,1,1,1,1,15,1,1,1,1
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,20,15,1,1,1,1,1
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,1,1,1,1
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,1,15,1,1,1,1
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,1,1,1,20,1
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,15,1,1,1
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,1,1,1
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,1
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,1
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
